"title","rating","reviews","type","address","description","serviceOptions","gpsCoordinates","placeUrl","dataId","website"
"New A.T Girls Hostel","3.5","11","Girl's Hostel","6JQJ+CV2, Main Rd, Opp. Arvindo Netralaya (Dr. Saxena)","Open 24 hours  088785 68055","","{""latitude"":""21.2385032"",""longitude"":""81.6321297""}","https://www.google.com/maps/place/New+A.T+Girls+Hostel/data=!4m7!3m6!1s0x3a28ddbc12f9fe4d:0xf6ebf56d89b91b48!8m2!3d21.2385032!4d81.6321297!16s%2Fg%2F11c311jksm!19sChIJTf75ErzdKDoRSBu5iW316_Y?authuser=0&hl=en&rclk=1","0x3a28ddbc12f9fe4d:0xf6ebf56d89b91b48",
"Maharaja blowz hostel","5.0","3","Hotel","6JMH+VFW, Purani basti thana",,"","{""latitude"":""21.2347403"",""longitude"":""81.6287158""}","https://www.google.com/maps/place/Maharaja+blowz+hostel/data=!4m7!3m6!1s0x3a28ddecb3674145:0x10ab8745324f834f!8m2!3d21.2347403!4d81.6287158!16s%2Fg%2F11hds2shbb!19sChIJRUFns-zdKDoRT4NPMkWHqxA?authuser=0&hl=en&rclk=1","0x3a28ddecb3674145:0x10ab8745324f834f",
"Kishori’s Homfort boys hostel/paying guest/dormitory","5.0","6","Boy's Hostel","math mandir, Bajrang chowk Mathpara near bhatagaon bus terminal Inter state bus terminal, Nirogdham Pali hospital, Dudhadhari Rd","Open 24 hours  089822 49923","","{""latitude"":""21.2259495"",""longitude"":""81.6321021""}","https://www.google.com/maps/place/Kishori%E2%80%99s+Homfort+boys+hostel%2Fpaying+guest%2Fdormitory/data=!4m7!3m6!1s0x3a28dd8cd3630e87:0x7a03510b1dde5fe!8m2!3d21.2259495!4d81.6321021!16s%2Fg%2F11t57nkr2j!19sChIJhw5j04zdKDoR_uXdsRA1oAc?authuser=0&hl=en&rclk=1","0x3a28dd8cd3630e87:0x7a03510b1dde5fe",
"SHYAM SNEH GIRLS HOSTEL PG","4.5","26","Girl's Hostel","Kailashpuri Rd",,"","{""latitude"":""21.2287182"",""longitude"":""81.6318571""}","https://www.google.com/maps/place/SHYAM+SNEH+GIRLS+HOSTEL+PG/data=!4m7!3m6!1s0x3a28ddb0e5f1f0f7:0x454326e9326eb000!8m2!3d21.2287182!4d81.6318571!16s%2Fg%2F11g03nj_ll!19sChIJ9_Dx5bDdKDoRALBuMukmQ0U?authuser=0&hl=en&rclk=1","0x3a28ddb0e5f1f0f7:0x454326e9326eb000",
"Govt, Model Post Metric ST Boys Hostel Pension Bada Raipur","5.0","1","Student housing center","Student housing center",,"","{""latitude"":""21.2302602"",""longitude"":""81.6487625""}","https://www.google.com/maps/place/Govt,+Model+Post+Metric+ST+Boys+Hostel+Pension+Bada+Raipur/data=!4m7!3m6!1s0x3a28dd8c21df2a57:0xa76b4a286fa533ed!8m2!3d21.2302602!4d81.6487625!16s%2Fg%2F11t4_bslpd!19sChIJVyrfIYzdKDoR7TOlbyhKa6c?authuser=0&hl=en&rclk=1","0x3a28dd8c21df2a57:0xa76b4a286fa533ed",
"Aashiyaana Girl's Hostel","3.7","3","Girl's Hostel","H.No.23/21,plot no14,hanuman nagar Socitey,near rising sun school","Open ⋅ Closes 9 pm  099775 56816","","{""latitude"":""21.2324607"",""longitude"":""81.6398754""}","https://www.google.com/maps/place/Aashiyaana+Girl%27s+Hostel/data=!4m7!3m6!1s0x3a28dda58f4ea623:0x9dc42446fcbf7e50!8m2!3d21.2324607!4d81.6398754!16s%2Fg%2F11hd4ydy57!19sChIJI6ZOj6XdKDoRUH6__EYkxJ0?authuser=0&hl=en&rclk=1","0x3a28dda58f4ea623:0x9dc42446fcbf7e50",
"R.D.A. Dormitory","5.0","26","Backpacker Hostel","Backpacker Hostel",,"Free Wi-Fi Air-conditioned Wi-Fi","{""latitude"":""21.2433748"",""longitude"":""81.6340793""}","https://www.google.com/maps/place/R.D.A.+Dormitory/data=!4m10!3m9!1s0x3a28dd2f5da3bfc3:0xe370c1e5b4941224!5m2!4m1!1i2!8m2!3d21.2433748!4d81.6340793!16s%2Fg%2F11twr6p84n!19sChIJw7-jXS_dKDoRJBKUtOXBcOM?authuser=0&hl=en&rclk=1","0x3a28dd2f5da3bfc3:0xe370c1e5b4941224","http://www.raipurdormitory.com/"
"Muskan PG for Boys","3.8","31","Hostel","G-4, Sector - 1","099938 52987","","{""latitude"":""21.2424296"",""longitude"":""81.6678635""}","https://www.google.com/maps/place/Muskan+PG+for+Boys/data=!4m7!3m6!1s0x3a28dd35c2f5dccf:0xf1b1f336f75c5c15!8m2!3d21.2424296!4d81.6678635!16s%2Fg%2F11fljjx37l!19sChIJz9z1wjXdKDoRFVxc9zbzsfE?authuser=0&hl=en&rclk=1","0x3a28dd35c2f5dccf:0xf1b1f336f75c5c15",
"Yadav Hostel","3.5","2","Hostel","15/876",,"""very good hostel....it's best""","{""latitude"":""21.24371"",""longitude"":""81.6327926""}","https://www.google.com/maps/place/Yadav+Hostel/data=!4m7!3m6!1s0x3a28dd3a1dddf1f7:0x54ec73539b9fceea!8m2!3d21.24371!4d81.6327926!16s%2Fg%2F11hzymh5zr!19sChIJ9_HdHTrdKDoR6s6fm1Nz7FQ?authuser=0&hl=en&rclk=1","0x3a28dd3a1dddf1f7:0x54ec73539b9fceea",
"Chaturvedi PG girls hostel","5.0","4","Backpacker Hostel","Housing board colony, LIG 75, near Chinese beauty parlour or shadija compund",,"""Girls Hostel in Raipur city""","{""latitude"":""21.2468043"",""longitude"":""81.6696762""}","https://www.google.com/maps/place/Chaturvedi+PG+girls+hostel/data=!4m7!3m6!1s0x3a28dd52633a9beb:0x70a49caa8a2b638a!8m2!3d21.2468043!4d81.6696762!16s%2Fg%2F11t7l6gd4j!19sChIJ65s6Y1LdKDoRimMriqqcpHA?authuser=0&hl=en&rclk=1","0x3a28dd52633a9beb:0x70a49caa8a2b638a",
"Pine-Shine hostel PG",,,"Backpacker Hostel","Hazrat fatehsa market, Sidhart Chowek, near Police line",,"","{""latitude"":""21.2455"",""longitude"":""81.6421""}","https://www.google.com/maps/place/Pine-Shine+hostel+PG/data=!4m7!3m6!1s0x3a28dd355f11f511:0xda425c4c2ed7d125!8m2!3d21.2455!4d81.6421!16s%2Fg%2F11kpdgtrmd!19sChIJEfURXzXdKDoRJdHXLkxcQto?authuser=0&hl=en&rclk=1","0x3a28dd355f11f511:0xda425c4c2ed7d125",
"Kasturi Boys PG","5.0","2","Backpacker Hostel","6JGG+79J",,"","{""latitude"":""21.2257021"",""longitude"":""81.6258918""}","https://www.google.com/maps/place/Kasturi+Boys+PG/data=!4m7!3m6!1s0x3a28dd8d06cc9867:0x2dfaa057e85f11c3!8m2!3d21.2257021!4d81.6258918!16s%2Fg%2F11kb4dm1vx!19sChIJZ5jMBo3dKDoRwxFf6Feg-i0?authuser=0&hl=en&rclk=1","0x3a28dd8d06cc9867:0x2dfaa057e85f11c3",
"38 Wings","3.7","26","Girl's Hostel","St. Xavier's Road, in front of Akanksha School","Open ⋅ Closes 7 pm","""No other hostels provide these many facilities in one go.""","{""latitude"":""21.2425319"",""longitude"":""81.6755862""}","https://www.google.com/maps/place/38+Wings/data=!4m7!3m6!1s0x3a28ddde61976499:0x9e253db21d02a01b!8m2!3d21.2425319!4d81.6755862!16s%2Fg%2F11j1k4jrj0!19sChIJmWSXYd7dKDoRG6ACHbI9JZ4?authuser=0&hl=en&rclk=1","0x3a28ddde61976499:0x9e253db21d02a01b",
"Jeet Boy's hostel","4.2","5","Hostel","LIG-58","Open ⋅ Closes 5 pm","","{""latitude"":""21.2462481"",""longitude"":""81.6696759""}","https://www.google.com/maps/place/Jeet+Boy%27s+hostel/data=!4m7!3m6!1s0x3a28dd0eafd44a4d:0xf25c5647bf9faa2!8m2!3d21.2462481!4d81.6696759!16s%2Fg%2F11p10h7z_8!19sChIJTUrUrw7dKDoRovr5e2TFJQ8?authuser=0&hl=en&rclk=1","0x3a28dd0eafd44a4d:0xf25c5647bf9faa2",
"Chhatrawas","2.3","3","Hostel","6JWJ+7M5, Fool Chuak, Main Rd","097530 75299","","{""latitude"":""21.245632"",""longitude"":""81.631722""}","https://www.google.com/maps/place/Chhatrawas/data=!4m7!3m6!1s0x3a28dd966f981c47:0x9cbbb874dbb538cd!8m2!3d21.245632!4d81.631722!16s%2Fg%2F11byl0_4mv!19sChIJRxyYb5bdKDoRzTi123S4u5w?authuser=0&hl=en&rclk=1","0x3a28dd966f981c47:0x9cbbb874dbb538cd",
"Eva Girls Hostel","4.6","5","Hostel","Boriya Rd","Closed ⋅ Opens 7 pm  079876 39245","""This hostel is a really good place for girls .""","{""latitude"":""21.2072541"",""longitude"":""81.6437205""}","https://www.google.com/maps/place/Eva+Girls+Hostel/data=!4m7!3m6!1s0x3a28dd1fd583bd43:0x5a23859fda00b8c9!8m2!3d21.2072541!4d81.6437205!16s%2Fg%2F11sq3d4tvs!19sChIJQ72D1R_dKDoRybgA2p-FI1o?authuser=0&hl=en&rclk=1","0x3a28dd1fd583bd43:0x5a23859fda00b8c9",
"Chanchal chhaya girls hostel","2.4","5","Hostel","House No.281, Geetanjali Nagar",,"","{""latitude"":""21.2464667"",""longitude"":""81.6675427""}","https://www.google.com/maps/place/Chanchal+chhaya+girls+hostel/data=!4m7!3m6!1s0x3a28df1545dab677:0x2c4eaab4d9563ab2!8m2!3d21.2464667!4d81.6675427!16s%2Fg%2F11rj_jnvz_!19sChIJd7baRRXfKDoRsjpW2bSqTiw?authuser=0&hl=en&rclk=1","0x3a28df1545dab677:0x2c4eaab4d9563ab2",
"Jain Girls Hostel",,,"Girl's Hostel","27/83",,"","{""latitude"":""21.249941"",""longitude"":""81.666488""}","https://www.google.com/maps/place/Jain+Girls+Hostel/data=!4m7!3m6!1s0x3a28dd7239f03947:0x4f9b88723a9f9d46!8m2!3d21.249941!4d81.666488!16s%2Fg%2F11h42pyyh6!19sChIJRznwOXLdKDoRRp2fOnKIm08?authuser=0&hl=en&rclk=1","0x3a28dd7239f03947:0x4f9b88723a9f9d46",
"Abha Queens Girls Hostel","5.0","1","Backpacker Hostel","SWATI IndustryC-17, near Swati Square",,"","{""latitude"":""21.258476"",""longitude"":""81.63905""}","https://www.google.com/maps/place/Abha+Queens+Girls+Hostel/data=!4m7!3m6!1s0x3a28dda982a76c3b:0x1c17fd8b8cb98d24!8m2!3d21.258476!4d81.63905!16s%2Fg%2F11sk397vy9!19sChIJO2yngqndKDoRJI25jIv9Fxw?authuser=0&hl=en&rclk=1","0x3a28dda982a76c3b:0x1c17fd8b8cb98d24",
"MSs Boys Hostel","2.8","47","Student housing center","6JXJ+5FG",,"","{""latitude"":""21.2479432"",""longitude"":""81.6311998""}","https://www.google.com/maps/place/MSs+Boys+Hostel/data=!4m7!3m6!1s0x3a28dd96a1e4ee0d:0xb3e35a8a81262936!8m2!3d21.2479432!4d81.6311998!16s%2Fg%2F11c3ty6jx5!19sChIJDe7koZbdKDoRNikmgYpa47M?authuser=0&hl=en&rclk=1","0x3a28dd96a1e4ee0d:0xb3e35a8a81262936",
"Agrawal Boys Hostle And P. G","3.6","20","Boy's Hostel","6J4W+99W, Unnamed Road","Open 24 hours","","{""latitude"":""21.2059908"",""longitude"":""81.6459404""}","https://www.google.com/maps/place/Agrawal+Boys+Hostle+And+P.+G/data=!4m7!3m6!1s0x3a28dd889f9907fb:0x84e0896131117fdb!8m2!3d21.2059908!4d81.6459404!16s%2Fg%2F11f7bqft1p!19sChIJ-weZn4jdKDoR238RMWGJ4IQ?authuser=0&hl=en&rclk=1","0x3a28dd889f9907fb:0x84e0896131117fdb",
"Arni Girls Hostel",,,"Hostel","6JQH+72Q","098279 77097","","{""latitude"":""21.2382229"",""longitude"":""81.6276217""}","https://www.google.com/maps/place/Arni+Girls+Hostel/data=!4m7!3m6!1s0x3a28ddbf257ac987:0x32f7a6232a13480e!8m2!3d21.2382229!4d81.6276217!16s%2Fg%2F11s7zrqpgc!19sChIJh8l6Jb_dKDoRDkgTKiOm9zI?authuser=0&hl=en&rclk=1","0x3a28ddbf257ac987:0x32f7a6232a13480e",
"Dadabadi Hostel","4.1","158","Hostel","MG Rd","077122 26085","""Good place for girls hostel.""","{""latitude"":""21.2466083"",""longitude"":""81.6340523""}","https://www.google.com/maps/place/Dadabadi+Hostel/data=!4m7!3m6!1s0x3a28dd96cf0b8b07:0xc377f5c1e2ad4fb6!8m2!3d21.2466083!4d81.6340523!16s%2Fg%2F11bw5vxxms!19sChIJB4sLz5bdKDoRtk-t4sH1d8M?authuser=0&hl=en&rclk=1","0x3a28dd96cf0b8b07:0xc377f5c1e2ad4fb6","http://www.dadabadihostel.webs.com/"
"Nirupam girls hostel","4.5","6","Girl's Hostel","Girl's Hostel","Open ⋅ Closes 7 pm","""Good hostel place for girls""","{""latitude"":""21.2334921"",""longitude"":""81.627222""}","https://www.google.com/maps/place/Nirupam+girls+hostel/data=!4m7!3m6!1s0x3a28dd95e7e27c0f:0xe59aec526c44ded1!8m2!3d21.2334921!4d81.627222!16s%2Fg%2F11jnd256wq!19sChIJD3zi55XdKDoR0d5EbFLsmuU?authuser=0&hl=en&rclk=1","0x3a28dd95e7e27c0f:0xe59aec526c44ded1",
"Apna Ghar (Boys Hostel)","3.3","12","Boy's Hostel","6JRC+6RX","098261 19137","""Best boys hostel in main road with all facility""","{""latitude"":""21.2406007"",""longitude"":""81.6221247""}","https://www.google.com/maps/place/Apna+Ghar+%28Boys+Hostel%29/data=!4m7!3m6!1s0x3a28dd3ff06114d9:0x4bab94145e26704f!8m2!3d21.2406007!4d81.6221247!16s%2Fg%2F11g0hb1v35!19sChIJ2RRh8D_dKDoRT3AmXhSUq0s?authuser=0&hl=en&rclk=1","0x3a28dd3ff06114d9:0x4bab94145e26704f",
"Shree Sai Girls Hostel","2.9","41","Girl's Hostel","House No.29/210, Vamre Sadan Indravati Colony, Opposite Sarswasti Shishu Mandir School","096852 61116","""Hostel for girls good price with food and other""","{""latitude"":""21.2449986"",""longitude"":""81.6499241""}","https://www.google.com/maps/place/Shree+Sai+Girls+Hostel/data=!4m7!3m6!1s0x3a28dd7528fa15bf:0x6d3e422c213c1171!8m2!3d21.2449986!4d81.6499241!16s%2Fg%2F11bccd9qt_!19sChIJvxX6KHXdKDoRcRE8ISxCPm0?authuser=0&hl=en&rclk=1","0x3a28dd7528fa15bf:0x6d3e422c213c1171",
"Govt.OBC Boys Hostel","4.2","16","Student housing center","6J3V+33G, KB-9",,"","{""latitude"":""21.2026758"",""longitude"":""81.6427026""}","https://www.google.com/maps/place/Govt.OBC+Boys+Hostel/data=!4m7!3m6!1s0x3a28ddfba18838f3:0x301a6967b3cf5d81!8m2!3d21.2026758!4d81.6427026!16s%2Fg%2F11g__5h20k!19sChIJ8ziIofvdKDoRgV3Ps2dpGjA?authuser=0&hl=en&rclk=1","0x3a28ddfba18838f3:0x301a6967b3cf5d81",
"Sai Chhaya Girls PG Hostel","3.9","91","Hostel","6MX5+3H7, Street Number 3","081036 16356","""I lived here for a year
It is a nice hostel""","{""latitude"":""21.2476607"",""longitude"":""81.658913""}","https://www.google.com/maps/place/Sai+Chhaya+Girls+PG+Hostel/data=!4m7!3m6!1s0x3a28dd7275ec1a97:0x181d40c8f3a6fe98!8m2!3d21.2476607!4d81.658913!16s%2Fg%2F11ddzcj84c!19sChIJlxrsdXLdKDoRmP6m88hAHRg?authuser=0&hl=en&rclk=1","0x3a28dd7275ec1a97:0x181d40c8f3a6fe98",
"Guru Sai Tiffin Services & Pg & Boys Hostel","3.0","1","Boy's Hostel","No.108, Anand Nagar - Pandri Link Rd",,"","{""latitude"":""21.2427382"",""longitude"":""81.6589832""}","https://www.google.com/maps/place/Guru+Sai+Tiffin+Services+%26+Pg+%26+Boys+Hostel/data=!4m7!3m6!1s0x3a28dd129a9f70f5:0xd02409e30693dc40!8m2!3d21.2427382!4d81.6589832!16s%2Fg%2F11fnw17215!19sChIJ9XCfmhLdKDoRQNyTBuMJJNA?authuser=0&hl=en&rclk=1","0x3a28dd129a9f70f5:0xd02409e30693dc40",
"Ananya Girls Hostel Raipur","4.8","49","Hostel","Hostel","Open ⋅ Closes 9:30 pm","""Looking for a Hostel,
Try Ananya Girls Hostel!!💗✨""","{""latitude"":""21.2519264"",""longitude"":""81.6603892""}","https://www.google.com/maps/place/Ananya+Girls+Hostel+Raipur/data=!4m7!3m6!1s0x3a28dd764ab80207:0xfa6bbc215215b650!8m2!3d21.2519264!4d81.6603892!16s%2Fg%2F11qg15crb_!19sChIJBwK4SnbdKDoRULYVUiG8a_o?authuser=0&hl=en&rclk=1","0x3a28dd764ab80207:0xfa6bbc215215b650",
"Polaris girls hostel","3.0","1","Hostel","6JWX+WWH, Bus Stand Rd, near pandri",,"","{""latitude"":""21.2473125"",""longitude"":""81.6498594""}","https://www.google.com/maps/place/Polaris+girls+hostel/data=!4m7!3m6!1s0x3a28dd7ff1ae0d81:0x96c054d50cdfe78d!8m2!3d21.2473125!4d81.6498594!16s%2Fg%2F11t3g9h069!19sChIJgQ2u8X_dKDoRjeffDNVUwJY?authuser=0&hl=en&rclk=1","0x3a28dd7ff1ae0d81:0x96c054d50cdfe78d",
"Nilay Mahila And Kanya Aawashiya Sansthan","4.2","5","Backpacker Hostel","Plot No. 47, Avanti Vihar Rd, Near Study Circle",,"","{""latitude"":""21.2472051"",""longitude"":""81.6679511""}","https://www.google.com/maps/place/Nilay+Mahila+And+Kanya+Aawashiya+Sansthan/data=!4m7!3m6!1s0x3a28dda9aca1271d:0xfc7daf792c23ef69!8m2!3d21.2472051!4d81.6679511!16s%2Fg%2F11h1bhjsvj!19sChIJHSehrKndKDoRae8jLHmvffw?authuser=0&hl=en&rclk=1","0x3a28dda9aca1271d:0xfc7daf792c23ef69",
"Post metric ST girls hostel Shankar Nagar","5.0","3","Student housing center","6MX7+FGC",,"","{""latitude"":""21.248688"",""longitude"":""81.6637506""}","https://www.google.com/maps/place/Post+metric+ST+girls+hostel+Shankar+Nagar/data=!4m7!3m6!1s0x3a28dd1d9c22c921:0xec9bb593d8007f59!8m2!3d21.248688!4d81.6637506!16s%2Fg%2F11q9505dcl!19sChIJIckinB3dKDoRWX8A2JO1m-w?authuser=0&hl=en&rclk=1","0x3a28dd1d9c22c921:0xec9bb593d8007f59",
"Shivnath Boys Hostel","1.8","10","Lodging","6JXX+84J","098062 02211","","{""latitude"":""21.2483376"",""longitude"":""81.6477644""}","https://www.google.com/maps/place/Shivnath+Boys+Hostel/data=!4m7!3m6!1s0x3a28dd4694508faf:0x396a88322fe2c56b!8m2!3d21.2483376!4d81.6477644!16s%2Fg%2F11fq138qbb!19sChIJr49QlEbdKDoRa8XiLzKIajk?authuser=0&hl=en&rclk=1","0x3a28dd4694508faf:0x396a88322fe2c56b",
"Jagdish Hostels","4.0","2","Backpacker Hostel","behind Babylon Inn","081203 31327","","{""latitude"":""21.2573553"",""longitude"":""81.6386822""}","https://www.google.com/maps/place/Jagdish+Hostels/data=!4m7!3m6!1s0x3a28dd1146d0c28f:0x636cc2117abe2d33!8m2!3d21.2573553!4d81.6386822!16s%2Fg%2F11q9jf7tdn!19sChIJj8LQRhHdKDoRMy2-ehHCbGM?authuser=0&hl=en&rclk=1","0x3a28dd1146d0c28f:0x636cc2117abe2d33",
"Girls sharing hostel accommodation pg, ashyana",,,"Girl's Hostel","QTR NO 1A, KAILASH RESIDENCY, MIRA, Meera Datar Road","Open 24 hours","","{""latitude"":""21.2458569"",""longitude"":""81.6628993""}","https://www.google.com/maps/place/Girls+sharing+hostel+accommodation+pg,+ashyana/data=!4m7!3m6!1s0x3a28dd24c51474af:0x733bbe85c8771ae8!8m2!3d21.2458569!4d81.6628993!16s%2Fg%2F11fll4yps5!19sChIJr3QUxSTdKDoR6Bp3yIW-O3M?authuser=0&hl=en&rclk=1","0x3a28dd24c51474af:0x733bbe85c8771ae8","https://girls-sharing-hostel-accommodation-pg-ashyana.business.site/?utm_source=gmb&utm_medium=referral"
"Boys pg","4.1","32","Boy's Hostel","MATS University, Bus Stand, Near LIC building, in front of Forest Colony","079871 46029","""The best place to experience your hostel life.""","{""latitude"":""21.2530497"",""longitude"":""81.6496745""}","https://www.google.com/maps/place/Boys+pg/data=!4m7!3m6!1s0x3a28dd8d04d929d7:0xaa0d6abdfd726ca0!8m2!3d21.2530497!4d81.6496745!16s%2Fg%2F11ghv9xgjr!19sChIJ1ynZBI3dKDoRoGxy_b1qDao?authuser=0&hl=en&rclk=1","0x3a28dd8d04d929d7:0xaa0d6abdfd726ca0",
"Nikky girls hostel","4.7","117","Girl's Hostel","near Bus Stand","Open 24 hours  062685 66370","""Hostel is Quite Good, but girls are Not.😜""","{""latitude"":""21.2507505"",""longitude"":""81.6501422""}","https://www.google.com/maps/place/Nikky+girls+hostel/data=!4m7!3m6!1s0x3a28dd0d20a682bb:0x424db2ac9316dc29!8m2!3d21.2507505!4d81.6501422!16s%2Fg%2F11f7gq5y7h!19sChIJu4KmIA3dKDoRKdwWk6yyTUI?authuser=0&hl=en&rclk=1","0x3a28dd0d20a682bb:0x424db2ac9316dc29","https://nikky-girls-hostel.business.site/"
"SHUKLAJI BOYS HOSTEL",,,"Backpacker Hostel","7J24+VCC",,"","{""latitude"":""21.2521782"",""longitude"":""81.6060034""}","https://www.google.com/maps/place/SHUKLAJI+BOYS+HOSTEL/data=!4m7!3m6!1s0x3a28dd126235f099:0xbdf5e8e0ddb8f36a!8m2!3d21.2521782!4d81.6060034!16s%2Fg%2F11s43pn4hf!19sChIJmfA1YhLdKDoRavO43eDo9b0?authuser=0&hl=en&rclk=1","0x3a28dd126235f099:0xbdf5e8e0ddb8f36a",
"Girls Hostel Pg",,,"Backpacker Hostel","Gupta Residency, bridge, beside grand honda lodhipara chowk service line",,"","{""latitude"":""21.2620701"",""longitude"":""81.6584636""}","https://www.google.com/maps/place/Girls+Hostel+Pg/data=!4m7!3m6!1s0x3a28ddaf9312222d:0xbdceca16e85c4449!8m2!3d21.2620701!4d81.6584636!16s%2Fg%2F11kbl4g7s2!19sChIJLSISk6_dKDoRSURc6BbKzr0?authuser=0&hl=en&rclk=1","0x3a28ddaf9312222d:0xbdceca16e85c4449",
"Vigour & Verve Girls Hostel","4.1","68","Girl's Hostel","near Karbala Talab Landmark : Jain Mandir, behind ANY TIME FITNESS","099930 13031","""This hostel is a really good place for girls .""","{""latitude"":""21.2452617"",""longitude"":""81.6111271""}","https://www.google.com/maps/place/Vigour+%26+Verve+Girls+Hostel/data=!4m7!3m6!1s0x3a28dd3c03738869:0x48b74971a6870d31!8m2!3d21.2452617!4d81.6111271!16s%2Fg%2F11rsr4m_nz!19sChIJaYhzAzzdKDoRMQ2HpnFJt0g?authuser=0&hl=en&rclk=1","0x3a28dd3c03738869:0x48b74971a6870d31","http://www.vigournverve.com/"
"USHA GIRLS HOSTEL","4.1","65","Girl's Hostel","behind Kalyan Jewellers","Open ⋅ Closes 8 pm  088893 88869","""Overall view - Don't think twice, just opt for the hostel.""","{""latitude"":""21.2511463"",""longitude"":""81.6494385""}","https://www.google.com/maps/place/USHA+GIRLS+HOSTEL/data=!4m7!3m6!1s0x3a28dd13704979ff:0x203d18b41f6ab8eb!8m2!3d21.2511463!4d81.6494385!16s%2Fg%2F11hyl36tpn!19sChIJ_3lJcBPdKDoR67hqH7QYPSA?authuser=0&hl=en&rclk=1","0x3a28dd13704979ff:0x203d18b41f6ab8eb",
"Hostel The Comfort Zone","4.2","37","Hostel","27/296","Open ⋅ Closes 11 pm","","{""latitude"":""21.2510524"",""longitude"":""81.6565956""}","https://www.google.com/maps/place/Hostel+The+Comfort+Zone/data=!4m7!3m6!1s0x3a28dd94b8ce6235:0x4d4549dd8daebffc!8m2!3d21.2510524!4d81.6565956!16s%2Fg%2F11fn50qfyd!19sChIJNWLOuJTdKDoR_L-ujd1JRU0?authuser=0&hl=en&rclk=1","0x3a28dd94b8ce6235:0x4d4549dd8daebffc",
"Nitesht Kumar",,,"Backpacker Hostel","24, Jail Rd",,"","{""latitude"":""21.2538304"",""longitude"":""81.6401629""}","https://www.google.com/maps/place/Nitesht+Kumar/data=!4m7!3m6!1s0x3a28dd29f4518f77:0xedf7f2d9bc4f2f55!8m2!3d21.2538304!4d81.6401629!16s%2Fg%2F11sct3rw7v!19sChIJd49R9CndKDoRVS9PvNny9-0?authuser=0&hl=en&rclk=1","0x3a28dd29f4518f77:0xedf7f2d9bc4f2f55",
"Parsad ""BOYS HOSTEL""","1.7","3","Student housing center","50/531",,"","{""latitude"":""21.2332149"",""longitude"":""81.6213056""}","https://www.google.com/maps/place/Parsad+%22BOYS+HOSTEL%22/data=!4m7!3m6!1s0x3a28dd1cca7092c3:0x3c8aff7d841acd9!8m2!3d21.2332149!4d81.6213056!16s%2Fg%2F11h0p4_qxg!19sChIJw5JwyhzdKDoR2axB2PevyAM?authuser=0&hl=en&rclk=1","0x3a28dd1cca7092c3:0x3c8aff7d841acd9",
"Dewangan Girls Hostel","3.8","17","Girl's Hostel","4/8386 road, no. 2, Bajrang Nagar Rd","Open 24 hours  076977 63683","""I was searching for a hostel for my friend and it was a decent experience.""","{""latitude"":""21.2427679"",""longitude"":""81.6251528""}","https://www.google.com/maps/place/Dewangan+Girls+Hostel/data=!4m7!3m6!1s0x3a28ddd50c1746b5:0x19cb1e9382c0b690!8m2!3d21.2427679!4d81.6251528!16s%2Fg%2F11gxhskzm7!19sChIJtUYXDNXdKDoRkLbAgpMeyxk?authuser=0&hl=en&rclk=1","0x3a28ddd50c1746b5:0x19cb1e9382c0b690",
"Shrivastava Boys Hostel","4.0","6","Boy's Hostel","Street No-3B","Open ⋅ Closes 8 pm","","{""latitude"":""21.2486511"",""longitude"":""81.6581856""}","https://www.google.com/maps/place/Shrivastava+Boys+Hostel/data=!4m7!3m6!1s0x3a28dd5395340261:0xf534b889351c4282!8m2!3d21.2486511!4d81.6581856!16s%2Fg%2F11jqd0bqh7!19sChIJYQI0lVPdKDoRgkIcNYm4NPU?authuser=0&hl=en&rclk=1","0x3a28dd5395340261:0xf534b889351c4282","https://shrivastava-boys-hostel.business.site/"
"JK girls hostel","4.6","19","Hostel","House no.-c97",,"""Hostel has spacious room and good facilities.""","{""latitude"":""21.2602439"",""longitude"":""81.6442209""}","https://www.google.com/maps/place/JK+girls+hostel/data=!4m7!3m6!1s0x3a28dd5a2603c715:0x5f4d7df198326b55!8m2!3d21.2602439!4d81.6442209!16s%2Fg%2F11mx3zrx0y!19sChIJFccDJlrdKDoRVWsymPF9TV8?authuser=0&hl=en&rclk=1","0x3a28dd5a2603c715:0x5f4d7df198326b55",
"Prithwani Girls Hostel (Hostel & Pg For Girls)","5.0","13","Backpacker Hostel","House No 452, G-2",,"""She Said the owner of hostel is very caring.""","{""latitude"":""21.2426684"",""longitude"":""81.5989325""}","https://www.google.com/maps/place/Prithwani+Girls+Hostel+%28Hostel+%26+Pg+For+Girls%29/data=!4m7!3m6!1s0x3a28dfb8a645b879:0xd9b9c50ed19e54b5!8m2!3d21.2426684!4d81.5989325!16s%2Fg%2F11k4vgjp21!19sChIJebhFprjfKDoRtVSe0Q7Fudk?authuser=0&hl=en&rclk=1","0x3a28dfb8a645b879:0xd9b9c50ed19e54b5",
"Ansari hostel","3.9","15","Boy's Hostel","7J6M+M5W",,"""Good boys Hostel Near railway.""","{""latitude"":""21.2617409"",""longitude"":""81.63296""}","https://www.google.com/maps/place/Ansari+hostel/data=!4m7!3m6!1s0x3a28dd8931e271d3:0x84cdebb726c64abe!8m2!3d21.2617409!4d81.63296!16s%2Fg%2F11dxbplv4h!19sChIJ03HiMYndKDoRvkrGJrfrzYQ?authuser=0&hl=en&rclk=1","0x3a28dd8931e271d3:0x84cdebb726c64abe",
